Date,Open,High,Low,Close,Adj Close,Volume
2021-04-01,5631.000000,5919.000000,5625.000000,5832.000000,5832.000000,5432638
2021-05-01,5845.000000,5880.000000,5530.000000,5633.000000,5633.000000,4159652
2021-06-01,5651.000000,6100.000000,5519.000000,5926.000000,5926.000000,5039071
2021-07-01,5947.000000,6500.000000,5899.000000,6193.000000,6193.000000,3210512
2021-08-01,6197.000000,6549.000000,6076.000000,6290.000000,6290.000000,6109549
2021-09-01,6326.000000,6499.000000,6083.000000,6311.000000,6311.000000,7861002
2021-10-01,6301.000000,6757.000000,6157.000000,6666.000000,6666.000000,3138875
2021-11-01,6666.000000,7275.000000,6657.000000,6930.000000,6930.000000,16466330
2021-12-01,7203.000000,7630.000000,6713.000000,7116.000000,7116.000000,2494291
2022-01-01,7430.000000,7499.000000,6200.000000,6462.000000,6462.000000,9932357
2022-02-01,6686.000000,6830.000000,5911.000000,6330.000000,6330.000000,5896348
2022-03-01,6550.000000,6550.000000,5823.000000,6219.000000,6219.000000,3721688
