Date,Open,High,Low,Close,Adj Close,Volume
2017-08-01,3375.000000,3405.000000,3200.000000,3278.000000,3278.000000,721070
2017-09-01,3285.000000,3515.000000,3230.000000,3465.000000,3465.000000,329806
2017-10-01,3515.000000,3974.000000,3451.000000,3696.000000,3696.000000,1450203
2017-11-01,3750.000000,3840.000000,3642.000000,3646.000000,3646.000000,887407
2017-12-01,3695.000000,3740.000000,3320.000000,3375.919922,3375.919922,1066860
2018-01-01,3370.000000,3540.000000,3331.000000,3417.000000,3417.000000,1259605
2018-02-01,3425.000000,3470.000000,3145.000000,3250.000000,3250.000000,1578399
2018-03-01,3294.000000,3390.000000,3090.000000,3165.000000,3165.000000,1242185
2018-04-01,3165.000000,3408.000000,3080.000000,3394.000000,3394.000000,889416
2018-05-01,3394.000000,3577.000000,3375.000000,3441.000000,3441.000000,2446442
2018-06-01,3469.000000,3816.000000,3443.000000,3772.000000,3772.000000,780611
2018-07-01,3750.000000,3784.000000,3620.000000,3684.000000,3684.000000,1044542
2018-08-01,3749.000000,4206.000000,3713.000000,4170.000000,4170.000000,1446121
2018-09-01,4199.000000,4395.000000,4038.000000,4047.000000,4047.000000,2366597
2018-10-01,4077.000000,4388.000000,3755.000000,3937.000000,3937.000000,1718783
2018-11-01,4008.000000,4008.000000,3350.000000,3674.000000,3674.000000,1996387
2018-12-01,3770.000000,3779.000000,3405.000000,3555.000000,3555.000000,1510480
2019-01-01,3555.000000,3724.000000,3475.000000,3516.000000,3516.000000,1429227
2019-02-01,3550.000000,3902.000000,3530.000000,3847.000000,3847.000000,2625623
2019-03-01,3895.000000,4284.000000,3883.000000,4023.000000,4023.000000,3136908
2019-04-01,4063.000000,4177.000000,3951.000000,4133.000000,4133.000000,14573492
2019-05-01,4133.000000,4293.000000,3940.000000,3974.000000,3974.000000,6661357
2019-06-01,3962.000000,4252.000000,3930.000000,4087.000000,4087.000000,2357274
2019-07-01,4122.000000,4236.000000,4033.000000,4171.000000,4171.000000,6355902
2019-08-01,4192.000000,4528.000000,4127.000000,4351.000000,4351.000000,3637080
2019-09-01,4400.000000,4500.000000,4242.000000,4420.000000,4420.000000,5988972
2019-10-01,4393.000000,4555.000000,4271.000000,4514.000000,4514.000000,3131869
2019-11-01,4614.000000,4748.000000,4450.000000,4513.000000,4513.000000,3390784
2019-12-01,4590.000000,4648.000000,4410.000000,4425.000000,4425.000000,2976523
2020-01-01,4425.000000,4806.000000,4425.000000,4725.000000,4725.000000,2783932
2020-02-01,4772.000000,4998.000000,4404.000000,4426.000000,4426.000000,4158348
2020-03-01,4470.000000,4818.000000,3518.000000,4504.000000,4504.000000,3187612
2020-04-01,4500.000000,5370.000000,4316.000000,5061.000000,5061.000000,2354935
2020-05-01,5061.000000,5340.000000,4870.000000,5047.000000,5047.000000,3881078
2020-06-01,5053.000000,5289.000000,4926.000000,5139.000000,5139.000000,2266020
2020-07-01,5176.000000,5375.000000,4895.000000,5318.000000,5318.000000,2471198
2020-08-01,5375.000000,5800.000000,5250.000000,5645.000000,5645.000000,2736577
2020-09-01,5630.000000,5743.000000,5227.000000,5438.000000,5438.000000,3244081
2020-10-01,5425.000000,5650.000000,5100.000000,5076.000000,5076.000000,3326405
2020-11-01,5230.000000,5569.000000,5090.000000,5457.000000,5457.000000,7886289
2020-12-01,5500.000000,5810.000000,5215.000000,5392.000000,5392.000000,4356260
2021-01-01,5392.000000,5990.000000,5360.000000,5549.000000,5549.000000,4389593
2021-02-01,5549.000000,5850.000000,5456.000000,5588.000000,5588.000000,6143886
2021-03-01,5619.000000,5900.000000,5566.000000,5671.000000,5671.000000,12529355
2021-04-01,5631.000000,5919.000000,5625.000000,5832.000000,5832.000000,5432638
2021-05-01,5845.000000,5880.000000,5530.000000,5633.000000,5633.000000,4159652
2021-06-01,5651.000000,6100.000000,5519.000000,5926.000000,5926.000000,5039071
2021-07-01,5947.000000,6500.000000,5899.000000,6193.000000,6193.000000,3210512
2021-08-01,6197.000000,6549.000000,6076.000000,6290.000000,6290.000000,6109549
2021-09-01,6326.000000,6499.000000,6083.000000,6311.000000,6311.000000,7861002
2021-10-01,6301.000000,6757.000000,6157.000000,6666.000000,6666.000000,3138875
2021-11-01,6666.000000,7275.000000,6657.000000,6930.000000,6930.000000,16466330
2021-12-01,7203.000000,7630.000000,6713.000000,7116.000000,7116.000000,2494291
2022-01-01,7430.000000,7499.000000,6200.000000,6462.000000,6462.000000,9932357
2022-02-01,6686.000000,6830.000000,5911.000000,6330.000000,6330.000000,5896348
2022-03-01,6550.000000,6550.000000,5823.000000,6219.000000,6219.000000,3721688
