Date,Open,High,Low,Close,Adj Close,Volume
4/27/2021,261.58,263.19,260.12,261.97,260.39,31014200.00
4/28/2021,256.08,256.54,252.95,254.56,253.03,46903100.00
4/29/2021,255.46,256.10,249.00,252.51,250.99,40589000.00
4/30/2021,249.74,253.08,249.60,252.18,250.66,30945100.00
5/3/2021,253.40,254.35,251.12,251.86,250.34,19626600.00
5/4/2021,250.97,251.21,245.76,247.79,246.30,32756100.00
5/5/2021,249.06,249.50,245.82,246.47,244.98,21901300.00
5/6/2021,246.45,249.86,244.69,249.73,248.22,26491100.00
5/7/2021,252.15,254.30,251.17,252.46,250.94,27032900.00
5/10/2021,250.87,251.73,247.12,247.18,245.69,29299900.00
5/11/2021,244.55,246.60,242.57,246.23,244.75,33641600.00
5/12/2021,242.17,244.38,238.07,239.00,237.56,36684400.00
5/13/2021,241.80,245.60,241.42,243.03,241.56,29624300.00
5/14/2021,245.58,249.18,245.49,248.15,246.65,23901100.00
5/17/2021,246.55,246.59,243.52,245.18,243.70,24970200.00
5/18/2021,246.27,246.41,242.90,243.08,241.61,20168000.00
5/19/2021,239.31,243.23,238.60,243.12,242.21,25739800.00
5/20/2021,243.96,247.95,243.86,246.48,245.56,21800700.00
5/21/2021,247.57,248.33,244.74,245.17,244.25,21863100.00
5/24/2021,247.79,251.16,247.51,250.78,249.84,21411500.00
5/25/2021,251.77,252.75,250.82,251.72,250.78,17704300.00
5/26/2021,251.43,252.94,250.75,251.49,250.55,17771600.00
5/27/2021,251.17,251.48,249.25,249.31,248.38,24426200.00
5/28/2021,251.00,252.08,249.56,249.68,248.75,18270200.00
6/1/2021,251.23,251.29,246.96,247.40,246.48,23213300.00
6/2/2021,248.13,249.27,245.84,247.30,246.38,19406700.00
6/3/2021,245.22,246.34,243.00,245.71,244.79,25307700.00
6/4/2021,247.76,251.65,247.51,250.79,249.85,25281100.00
6/7/2021,249.98,254.09,249.81,253.81,252.86,23079200.00
6/8/2021,255.16,256.01,252.51,252.57,251.63,22455000.00
6/9/2021,253.81,255.53,253.21,253.59,252.64,17937600.00
6/10/2021,254.29,257.46,253.67,257.24,256.28,24563600.00
6/11/2021,257.99,258.49,256.61,257.89,256.93,18999700.00
6/14/2021,257.90,259.95,256.80,259.89,258.92,19150500.00
6/15/2021,259.77,259.99,257.68,258.36,257.40,18038900.00
6/16/2021,259.40,260.58,254.42,257.38,256.42,27220000.00
6/17/2021,256.07,261.75,256.01,260.90,259.93,27565500.00
6/18/2021,259.63,262.30,258.75,259.43,258.46,37202200.00
6/21/2021,259.82,263.52,257.92,262.63,261.65,26696100.00
6/22/2021,262.72,265.79,262.40,265.51,264.52,24694100.00
6/23/2021,265.99,266.83,264.43,265.27,264.28,19518700.00
6/24/2021,266.16,267.85,265.47,266.69,265.69,21446900.00
6/25/2021,266.23,267.25,264.76,265.02,264.03,25611100.00
6/28/2021,266.19,268.90,265.91,268.72,267.72,19590000.00
6/29/2021,268.87,271.65,267.98,271.40,270.39,19937800.00
6/30/2021,270.69,271.36,269.60,270.90,269.89,21656500.00
7/1/2021,269.61,271.84,269.60,271.60,270.59,16725300.00
7/2/2021,272.82,278.00,272.50,277.65,276.61,26458000.00
7/6/2021,278.03,279.37,274.30,277.66,276.62,31565600.00
7/7/2021,279.40,280.69,277.15,279.93,278.88,23260000.00
7/8/2021,276.90,278.73,274.87,277.42,276.38,24618600.00
7/9/2021,275.72,278.05,275.32,277.94,276.90,23916700.00
7/12/2021,279.16,279.77,276.58,277.32,276.28,18931700.00
7/13/2021,277.52,282.85,277.39,280.98,279.93,26120100.00
7/14/2021,282.35,283.66,280.55,282.51,281.46,23113700.00
7/15/2021,282.00,282.51,279.83,281.03,279.98,22604200.00
7/16/2021,282.07,284.10,279.46,280.75,279.70,26186800.00
7/19/2021,278.93,280.37,274.45,277.01,275.98,32935600.00
7/20/2021,278.03,280.97,276.26,279.32,278.28,26259700.00
7/21/2021,278.90,281.52,277.29,281.40,280.35,24364300.00
7/22/2021,283.84,286.42,283.42,286.14,285.07,23384100.00
7/23/2021,287.37,289.99,286.50,289.67,288.59,22768100.00
7/26/2021,289.00,289.69,286.64,289.05,287.97,23176100.00
7/27/2021,289.43,289.58,282.95,286.54,285.47,33604100.00
7/28/2021,288.99,290.15,283.83,286.22,285.15,33566900.00
7/29/2021,286.24,288.62,286.08,286.50,285.43,18168300.00
